transactionid,userid,time,amount,state,city,country,tran_lat,tran_lon,merchantType,isFraud
85,5,2025-09-05 10:49:00,372.29,,,,42.321544,-71.010434,,True
86,5,2025-09-05 12:06:00,140.53,,,,42.349643,-71.100281,,True
87,5,2025-09-05 14:01:00,384.3,,,,42.3423,-71.087556,,True
88,5,2025-09-05 15:10:00,491.81,,,,42.382934,-71.063571,,True
89,5,2025-09-05 17:47:00,357.46,,,,42.387379,-71.074458,,True
90,5,2025-09-05 18:04:00,25.82,,,,42.400142,-71.024797,,True
91,5,2025-09-05 18:17:00,285.33,,,,42.331173,-71.057749,,True
92,5,2025-09-05 19:02:00,460.26,,,,42.393964,-71.040626,,True
93,5,2025-09-05 19:54:00,262.28,,,,42.35284,-71.055129,,False
94,5,2025-09-06 02:54:00,423.82,,,,42.38677,-71.076357,,False
95,5,2025-09-08 22:54:00,124.74,,,,42.371039,-71.011731,,False
96,5,2025-09-13 01:54:00,397.49,,,,42.389975,-71.027808,,False
97,5,2025-09-16 13:54:00,230.88,,,,42.384136,-71.02704,,False
98,5,2025-09-19 11:54:00,173.91,,,,42.396459,-71.089545,,False
99,5,2025-09-23 07:54:00,496.05,,,,42.339145,-71.011456,,False
100,5,2025-09-26 06:54:00,22.8,,,,42.405273,-71.074871,,False
101,6,2025-09-02 08:00:00,94.95,,,,37.812464,-122.433302,,False
102,6,2025-09-03 12:00:00,262.85,,,,37.822014,-122.369889,,False
103,6,2025-09-04 22:00:00,467.11,,,,37.823341,-122.397307,,False
104,6,2025-09-07 02:00:00,100.39,,,,37.728635,-122.461451,,False
105,6,2025-09-09 16:00:00,315.83,,,,37.741511,-122.370855,,False
106,6,2025-09-09 22:00:00,313.61,,,,37.791606,-122.458221,,False
107,6,2025-09-12 13:00:00,426.47,,,,37.773189,-122.377311,,False
108,6,2025-09-14 01:00:00,208.18,,,,37.745604,-122.426885,,False
109,6,2025-09-16 01:00:00,156.11,,,,37.781985,-122.430062,,False
110,6,2025-09-19 02:00:00,218.02,,,,37.737501,-122.434887,,False
111,6,2025-09-21 21:00:00,164.19,,,,37.753997,-122.452938,,False
112,6,2025-09-24 12:00:00,187.36,,,,37.783375,-122.457071,,False
113,6,2025-09-27 11:00:00,139.95,,,,37.729805,-122.432734,,False
114,6,2025-09-29 10:00:00,280.29,,,,37.816391,-122.43071,,False
115,6,2025-10-01 06:00:00,275.56,,,,37.752354,-122.467409,,False
116,6,2025-10-04 01:00:00,285.44,,,,37.77565,-122.450272,,False
117,6,2025-10-04 15:00:00,417.31,,,,37.807811,-122.447136,,False
118,6,2025-10-06 02:00:00,169.0,,,,37.789132,-122.387808,,False
119,6,2025-10-08 02:00:00,202.94,,,,37.744398,-122.439752,,False
120,6,2025-10-09 20:00:00,92.63,,,,37.75082,-122.464722,,False
121,7,2025-09-02 08:00:00,465.86,,,,25.791893,-80.20839,,False
122,7,2025-09-04 20:00:00,404.72,,,,25.750409,-80.189588,,False
123,7,2025-09-08 11:00:00,226.3,,,,25.789424,-80.234591,,False
124,7,2025-09-11 20:00:00,249.07,,,,25.75683,-80.202032,,False
125,7,2025-09-15 05:00:00,117.89,,,,25.764287,-80.227868,,False
126,7,2025-09-18 03:00:00,74.24,,,,25.777572,-80.21254,,False
127,7,2025-09-20 23:00:00,184.91,,,,25.738187,-80.150975,,False
128,7,2025-09-22 17:00:00,302.31,,,,25.726322,-80.21491,,False
129,7,2025-09-25 15:00:00,176.92,,,,25.724187,-80.169779,,False
130,7,2025-09-26 05:00:00,65.26,,,,25.782718,-80.174957,,False
131,7,2025-09-27 06:00:00,37.22,,,,25.76422,-80.173929,,False
132,7,2025-09-29 21:00:00,171.29,,,,25.731532,-80.172028,,False
133,7,2025-09-30 15:00:00,210.17,,,,25.728597,-80.16452,,False
134,7,2025-10-02 12:00:00,114.09,,,,25.79173,-80.207756,,False
135,7,2025-10-05 08:00:00,356.08,,,,25.71788,-80.222392,,False
136,7,2025-10-05 18:00:00,274.38,,,,25.745371,-80.183891,,False
137,7,2025-10-06 06:00:00,312.4,,,,25.798496,-80.237634,,False
138,7,2025-10-08 09:00:00,140.94,,,,25.792499,-80.230622,,False
139,7,2025-10-10 12:00:00,476.52,,,,25.723737,-80.147969,,True
140,7,2025-10-10 12:39:00,339.22,,,,25.760057,-80.232668,,True
141,8,2025-09-02 08:00:00,28.44,,,,34.061226,-118.213454,,False
142,8,2025-09-05 11:00:00,105.81,,,,34.019326,-118.22054,,False
143,8,2025-09-07 04:00:00,127.07,,,,34.094321,-118.281443,,False
144,8,2025-09-07 11:00:00,332.01,,,,34.025965,-118.267449,,False
145,8,2025-09-09 04:00:00,123.72,,,,34.042816,-118.252952,,True
146,8,2025-09-09 04:50:00,190.73,,,,34.011181,-118.219472,,True
147,8,2025-09-09 05:04:00,253.45,,,,34.042467,-118.203437,,False
148,8,2025-09-10 21:04:00,299.81,,,,34.024849,-118.269217,,False
149,8,2025-09-13 00:04:00,203.15,,,,34.057497,-118.283462,,False
150,8,2025-09-14 07:04:00,325.26,,,,34.085424,-118.260763,,False
151,8,2025-09-17 07:04:00,428.86,,,,34.008746,-118.291488,,False
152,8,2025-09-19 12:04:00,477.69,,,,34.057558,-118.194031,,False
153,8,2025-09-20 23:04:00,164.38,,,,34.039504,-118.224355,,False
154,8,2025-09-24 07:04:00,339.99,,,,34.068311,-118.258974,,False
155,8,2025-09-28 04:04:00,405.18,,,,34.056113,-118.219332,,False
156,8,2025-10-02 04:04:00,273.3,,,,34.053582,-118.202551,,False
157,8,2025-10-05 19:04:00,432.63,,,,34.045892,-118.227795,,False
158,8,2025-10-07 16:04:00,477.79,,,,34.033885,-118.254394,,False
159,8,2025-10-10 03:04:00,496.7,,,,34.065009,-118.276113,,False
160,8,2025-10-14 00:04:00,375.28,,,,34.028789,-118.275075,,False
161,9,2025-09-02 08:00:00,320.62,,,,25.719108,-80.234879,,True
162,9,2025-09-02 08:22:00,263.48,,,,25.736706,-80.204825,,True
163,9,2025-09-02 08:43:00,248.51,,,,25.77402,-80.174016,,False
164,9,2025-09-03 01:43:00,461.05,,,,25.729178,-80.196345,,False
165,9,2025-09-07 02:43:00,284.53,,,,25.766605,-80.158783,,False
166,9,2025-09-10 22:43:00,184.94,,,,25.772604,-80.172658,,False
167,9,2025-09-13 14:43:00,253.32,,,,25.785715,-80.166076,,False
168,9,2025-09-16 23:43:00,466.21,,,,25.798798,-80.231005,,False
169,9,2025-09-20 12:43:00,218.43,,,,25.775812,-80.22103,,False
170,9,2025-09-23 07:43:00,93.91,,,,25.757056,-80.224036,,False
171,9,2025-09-25 07:43:00,74.4,,,,25.723588,-80.183205,,False
172,9,2025-09-25 11:43:00,298.67,,,,25.731585,-80.214836,,False
173,9,2025-09-29 14:43:00,278.92,,,,25.750712,-80.170144,,False
174,9,2025-10-01 03:43:00,210.83,,,,25.754246,-80.14863,,False
175,9,2025-10-03 09:43:00,185.9,,,,25.764388,-80.153622,,False
176,9,2025-10-05 07:43:00,311.1,,,,25.771553,-80.189905,,False
177,9,2025-10-08 02:43:00,76.84,,,,25.800336,-80.143568,,False
178,9,2025-10-10 08:43:00,26.58,,,,25.778866,-80.208444,,False
179,9,2025-10-12 06:43:00,262.32,,,,25.757778,-80.213004,,False
180,9,2025-10-15 18:43:00,410.85,,,,25.735727,-80.180413,,False
181,10,2025-09-02 08:00:00,222.75,,,,47.559598,-122.324106,,False
182,10,2025-09-03 11:00:00,428.25,,,,47.611055,-122.296335,,False
183,10,2025-09-06 20:00:00,478.12,,,,47.60426,-122.36124,,False
184,10,2025-09-08 05:00:00,232.13,,,,47.612328,-122.365783,,False
185,10,2025-09-09 05:00:00,41.58,,,,47.629988,-122.283615,,False
186,10,2025-09-13 05:00:00,27.49,,,,47.631981,-122.37841,,False
187,10,2025-09-15 09:00:00,333.41,,,,47.591753,-122.364567,,False
188,10,2025-09-15 22:00:00,306.84,,,,47.578149,-122.369274,,False
189,10,2025-09-17 01:00:00,270.54,,,,47.647821,-122.329331,,False
190,10,2025-09-17 05:00:00,346.76,,,,47.581038,-122.376331,,False
191,10,2025-09-19 12:00:00,167.63,,,,47.578669,-122.292437,,False
192,10,2025-09-21 04:00:00,177.2,,,,47.599235,-122.360595,,False
193,10,2025-09-25 04:00:00,379.79,,,,47.564653,-122.376128,,False
194,10,2025-09-25 22:00:00,359.6,,,,47.650534,-122.374544,,False
195,10,2025-09-28 18:00:00,24.34,,,,47.606108,-122.376155,,False
196,10,2025-09-30 10:00:00,448.26,,,,47.571595,-122.316699,,False
197,10,2025-10-02 00:00:00,372.24,,,,47.632321,-122.29204,,False
198,10,2025-10-05 07:00:00,16.7,,,,47.564765,-122.381312,,False
199,10,2025-10-07 13:00:00,410.33,,,,47.609714,-122.378359,,False
200,10,2025-10-09 01:00:00,321.16,,,,47.639631,-122.334777,,False
201,11,2025-09-02 08:00:00,411.45,,,,47.587118,-122.343271,,False
202,11,2025-09-06 08:00:00,474.32,,,,47.654504,-122.308361,,False
203,11,2025-09-09 18:00:00,164.96,,,,47.568068,-122.348645,,False
204,11,2025-09-13 09:00:00,56.65,,,,47.614369,-122.32114,,False
205,11,2025-09-13 21:00:00,334.94,,,,47.620969,-122.298867,,False
206,11,2025-09-14 22:00:00,392.66,,,,47.570645,-122.373284,,False
207,11,2025-09-19 01:00:00,336.12,,,,47.586132,-122.36211,,False
208,11,2025-09-20 23:00:00,447.83,,,,47.634446,-122.36247,,False
209,11,2025-09-23 21:00:00,369.6,,,,47.602141,-122.306811,,False
210,11,2025-09-27 22:00:00,447.98,,,,47.582386,-122.359772,,False
211,11,2025-09-30 14:00:00,296.51,,,,47.631761,-122.364653,,False
212,11,2025-10-04 03:00:00,46.24,,,,47.655959,-122.30483,,True
213,11,2025-10-04 05:36:00,346.2,,,,47.590843,-122.330882,,True
214,11,2025-10-04 08:09:00,18.42,,,,47.644527,-122.369006,,True
215,11,2025-10-04 10:42:00,245.01,,,,47.610962,-122.372424,,False
216,11,2025-10-05 18:42:00,141.05,,,,47.563403,-122.341118,,False
217,11,2025-10-08 19:42:00,467.06,,,,47.572689,-122.301783,,False
218,11,2025-10-09 14:42:00,203.05,,,,47.616749,-122.307521,,True
219,11,2025-10-09 14:52:00,330.5,,,,47.588858,-122.287616,,True
220,11,2025-10-09 16:30:00,220.29,,,,47.615338,-122.303599,,True
221,12,2025-09-02 08:00:00,158.66,,,,39.707208,-105.012298,,False
222,12,2025-09-02 13:00:00,398.3,,,,39.773969,-104.998498,,False
223,12,2025-09-03 18:00:00,337.95,,,,39.767806,-105.018392,,False
224,12,2025-09-06 16:00:00,473.36,,,,39.752079,-105.014331,,False
225,12,2025-09-09 06:00:00,131.54,,,,39.784806,-104.944734,,False
226,12,2025-09-12 15:00:00,74.95,,,,39.77929,-104.994219,,False
227,12,2025-09-14 23:00:00,452.31,,,,39.717513,-105.009068,,False
228,12,2025-09-18 17:00:00,161.92,,,,39.689349,-104.994462,,False
229,12,2025-09-20 08:00:00,192.38,,,,39.699149,-104.953064,,False
230,12,2025-09-22 13:00:00,405.0,,,,39.690216,-104.956315,,False
231,12,2025-09-26 06:00:00,352.86,,,,39.725185,-105.018127,,False
232,12,2025-09-28 03:00:00,54.29,,,,39.778621,-104.981125,,False
233,12,2025-10-01 06:00:00,172.93,,,,39.70508,-105.000493,,False
234,12,2025-10-02 10:00:00,442.14,,,,39.699268,-104.99406,,False
235,12,2025-10-04 00:00:00,36.16,,,,39.768148,-105.034454,,False
236,12,2025-10-07 22:00:00,37.03,,,,39.758439,-105.00025,,False
237,12,2025-10-11 03:00:00,433.57,,,,39.765709,-104.943251,,False
238,12,2025-10-11 15:00:00,85.39,,,,39.742163,-104.989952,,False
239,12,2025-10-15 16:00:00,433.14,,,,39.723683,-104.95457,,False
240,12,2025-10-19 00:00:00,230.19,,,,39.745012,-104.952846,,False
241,13,2025-09-02 08:00:00,97.65,,,,25.719556,-80.196394,,False
242,13,2025-09-04 02:00:00,133.04,,,,25.778663,-80.217836,,False
243,13,2025-09-06 04:00:00,382.79,,,,25.731429,-80.205276,,False
244,13,2025-09-08 19:00:00,51.66,,,,25.777184,-80.220684,,False
245,13,2025-09-09 03:00:00,455.63,,,,25.777319,-80.18419,,False
246,13,2025-09-10 20:00:00,244.93,,,,25.739701,-80.233109,,False
247,13,2025-09-12 08:00:00,11.15,,,,25.790547,-80.188596,,False
248,13,2025-09-13 06:00:00,183.07,,,,25.714612,-80.153786,,False
249,13,2025-09-16 05:00:00,368.63,,,,25.784279,-80.179226,,False
250,13,2025-09-19 10:00:00,297.99,,,,25.729762,-80.195663,,False
251,13,2025-09-23 04:00:00,454.28,,,,25.79228,-80.191526,,False
252,13,2025-09-24 19:00:00,438.39,,,,25.805179,-80.222719,,False
253,13,2025-09-28 16:00:00,162.88,,,,25.749699,-80.167043,,False
254,13,2025-10-02 14:00:00,102.67,,,,25.770885,-80.23117,,False
255,13,2025-10-05 10:00:00,239.83,,,,25.789557,-80.151183,,False
256,13,2025-10-09 05:00:00,77.04,,,,25.730578,-80.154162,,False
257,13,2025-10-12 20:00:00,314.17,,,,25.722017,-80.192309,,False
258,13,2025-10-16 12:00:00,341.62,,,,25.731853,-80.191306,,False
259,13,2025-10-17 05:00:00,155.47,,,,25.769181,-80.227367,,False
260,13,2025-10-19 17:00:00,258.33,,,,25.788143,-80.223462,,False
261,14,2025-09-02 08:00:00,166.15,,,,40.761702,-74.010112,,False
262,14,2025-09-02 19:00:00,65.0,,,,40.66504,-74.019686,,False
263,14,2025-09-04 13:00:00,437.49,,,,40.733356,-73.996061,,False
264,14,2025-09-04 21:00:00,271.44,,,,40.678112,-73.978815,,False
265,14,2025-09-07 13:00:00,240.12,,,,40.66473,-74.032272,,False
266,14,2025-09-10 10:00:00,364.31,,,,40.724242,-74.015961,,False
267,14,2025-09-12 19:00:00,101.81,,,,40.725366,-74.021189,,False
268,14,2025-09-12 23:00:00,70.99,,,,40.701674,-73.977679,,False
269,14,2025-09-14 20:00:00,167.5,,,,40.744951,-74.042603,,True
270,14,2025-09-14 22:27:00,34.43,,,,40.757398,-73.982251,,True
271,14,2025-09-14 22:46:00,119.2,,,,40.759104,-74.051572,,True
272,14,2025-09-14 23:53:00,123.22,,,,40.706019,-74.013549,,True
273,14,2025-09-15 01:41:00,460.31,,,,40.761773,-74.010545,,True
274,14,2025-09-15 02:37:00,338.73,,,,40.744941,-74.042008,,False
275,14,2025-09-15 09:37:00,177.36,,,,40.719959,-74.028035,,False
276,14,2025-09-18 04:37:00,10.69,,,,40.722231,-73.995849,,False
277,14,2025-09-18 13:37:00,238.5,,,,40.733799,-73.989261,,False
278,14,2025-09-21 14:37:00,174.89,,,,40.697742,-73.988228,,False
279,14,2025-09-21 22:37:00,429.99,,,,40.743633,-73.967762,,False
280,14,2025-09-24 02:37:00,133.7,,,,40.664507,-74.023782,,False
281,15,2025-09-02 08:00:00,122.3,,,,42.38742,-71.104299,,True
282,15,2025-09-02 08:30:00,465.23,,,,42.335555,-71.108745,,True
283,15,2025-09-02 11:12:00,468.96,,,,42.336441,-71.098248,,True
284,15,2025-09-02 12:51:00,117.45,,,,42.367244,-71.087014,,True
285,15,2025-09-02 13:26:00,280.62,,,,42.373846,-71.044473,,True
286,15,2025-09-02 16:25:00,88.88,,,,42.362538,-71.048727,,False
287,15,2025-09-05 18:25:00,179.84,,,,42.369858,-71.03609,,False
288,15,2025-09-06 05:25:00,146.9,,,,42.335918,-71.074557,,False
289,15,2025-09-08 13:25:00,479.32,,,,42.319194,-71.096465,,False
290,15,2025-09-09 19:25:00,479.8,,,,42.323729,-71.030703,,False
291,15,2025-09-10 07:25:00,433.43,,,,42.325825,-71.04272,,False
292,15,2025-09-11 15:25:00,460.95,,,,42.314208,-71.080489,,False
293,15,2025-09-13 03:25:00,383.0,,,,42.341337,-71.077553,,False
294,15,2025-09-15 07:25:00,332.67,,,,42.329154,-71.012273,,False
295,15,2025-09-16 10:25:00,488.02,,,,42.331038,-71.05003,,False
296,15,2025-09-19 23:25:00,125.65,,,,42.342517,-71.103873,,False
297,15,2025-09-22 19:25:00,381.92,,,,42.389512,-71.036979,,False
298,15,2025-09-23 04:25:00,167.68,,,,42.350381,-71.059155,,False
299,15,2025-09-25 03:25:00,11.88,,,,42.363251,-71.070851,,False
300,15,2025-09-28 04:25:00,86.33,,,,42.310749,-71.074861,,False
301,16,2025-09-02 08:00:00,177.68,,,,34.031862,-118.252551,,False
302,16,2025-09-03 16:00:00,195.7,,,,34.090716,-118.213617,,False
303,16,2025-09-04 02:00:00,144.22,,,,34.048127,-118.194405,,False
304,16,2025-09-07 06:00:00,415.11,,,,34.00446,-118.208721,,False
305,16,2025-09-09 13:00:00,52.03,,,,34.013131,-118.247476,,False
306,16,2025-09-10 07:00:00,154.86,,,,34.099139,-118.240717,,False
307,16,2025-09-13 08:00:00,247.41,,,,34.072997,-118.249434,,False
308,16,2025-09-15 12:00:00,499.18,,,,34.055276,-118.195872,,False
309,16,2025-09-17 03:00:00,83.27,,,,34.079305,-118.220107,,False
310,16,2025-09-20 19:00:00,285.78,,,,34.100117,-118.288702,,False
311,16,2025-09-23 12:00:00,357.54,,,,34.024443,-118.254354,,False
312,16,2025-09-24 13:00:00,325.38,,,,34.067407,-118.217406,,False
313,16,2025-09-24 19:00:00,233.49,,,,34.0725,-118.220435,,False
314,16,2025-09-28 07:00:00,327.37,,,,34.049217,-118.229871,,False
315,16,2025-10-01 10:00:00,311.31,,,,34.050676,-118.232693,,False
316,16,2025-10-02 08:00:00,261.06,,,,34.044057,-118.245845,,False
317,16,2025-10-05 08:00:00,392.08,,,,34.066913,-118.287435,,False
318,16,2025-10-06 16:00:00,111.93,,,,34.055973,-118.253337,,False
319,16,2025-10-07 14:00:00,486.41,,,,34.023768,-118.199592,,False
320,16,2025-10-09 17:00:00,446.38,,,,34.063381,-118.221033,,False
321,17,2025-09-02 08:00:00,119.81,,,,47.608861,-122.377538,,False
322,17,2025-09-05 18:00:00,322.7,,,,47.628848,-122.36245,,False
323,17,2025-09-08 00:00:00,41.51,,,,47.570107,-122.379231,,False
324,17,2025-09-10 12:00:00,210.78,,,,47.60588,-122.348287,,False
325,17,2025-09-13 07:00:00,195.47,,,,47.613427,-122.346308,,False
326,17,2025-09-17 07:00:00,83.86,,,,47.566102,-122.296004,,False
327,17,2025-09-21 08:00:00,228.58,,,,47.573895,-122.285544,,False
328,17,2025-09-24 04:00:00,202.46,,,,47.591012,-122.34131,,False
329,17,2025-09-27 18:00:00,401.59,,,,47.646472,-122.379555,,False
330,17,2025-09-28 01:00:00,203.12,,,,47.64865,-122.286702,,False
331,17,2025-09-28 10:00:00,105.21,,,,47.617163,-122.352113,,False
332,17,2025-09-28 18:00:00,296.97,,,,47.607365,-122.341646,,False
333,17,2025-10-01 18:00:00,263.64,,,,47.6001,-122.339723,,False
334,17,2025-10-02 15:00:00,153.3,,,,47.622744,-122.334039,,False
335,17,2025-10-02 21:00:00,462.74,,,,47.557346,-122.336948,,False
336,17,2025-10-03 02:00:00,101.07,,,,47.557457,-122.336503,,False
337,17,2025-10-03 15:00:00,214.11,,,,47.638048,-122.322374,,False
338,17,2025-10-04 08:00:00,440.45,,,,47.608502,-122.372137,,False
339,17,2025-10-06 01:00:00,163.21,,,,47.604098,-122.323888,,True
340,17,2025-10-06 03:14:00,257.08,,,,47.632433,-122.347665,,True
341,18,2025-09-02 08:00:00,240.41,,,,33.475821,-112.085716,,False
342,18,2025-09-06 07:00:00,218.14,,,,33.479658,-112.083543,,False
343,18,2025-09-06 22:00:00,10.45,,,,33.475941,-112.082202,,False
344,18,2025-09-09 22:00:00,70.79,,,,33.447435,-112.073123,,False
345,18,2025-09-13 09:00:00,310.82,,,,33.452313,-112.073039,,False
346,18,2025-09-17 12:00:00,202.52,,,,33.441552,-112.063791,,False
347,18,2025-09-19 19:00:00,78.43,,,,33.49138,-112.081263,,False
348,18,2025-09-22 14:00:00,470.1,,,,33.399006,-112.045683,,False
349,18,2025-09-25 07:00:00,9.09,,,,33.45501,-112.067836,,False
350,18,2025-09-28 11:00:00,100.86,,,,33.468044,-112.062021,,False
351,18,2025-09-28 19:00:00,452.75,,,,33.439165,-112.044249,,False
352,18,2025-10-01 02:00:00,461.57,,,,33.44038,-112.093992,,False
353,18,2025-10-02 23:00:00,73.59,,,,33.44005,-112.061298,,False
354,18,2025-10-06 04:00:00,47.6,,,,33.472043,-112.11473,,False
355,18,2025-10-09 01:00:00,234.88,,,,33.415077,-112.100615,,False
356,18,2025-10-10 15:00:00,303.68,,,,33.496495,-112.070776,,False
357,18,2025-10-13 12:00:00,333.57,,,,33.401187,-112.067938,,False
358,18,2025-10-14 14:00:00,83.19,,,,33.48748,-112.104267,,False
359,18,2025-10-15 03:00:00,372.34,,,,33.467645,-112.07137,,False
360,18,2025-10-16 04:00:00,124.79,,,,33.467956,-112.048088,,True
361,19,2025-09-02 08:00:00,231.32,,,,29.772184,-95.332245,,False
362,19,2025-09-06 10:00:00,378.99,,,,29.765298,-95.381132,,False
363,19,2025-09-07 00:00:00,253.15,,,,29.746893,-95.400982,,False
364,19,2025-09-08 16:00:00,294.6,,,,29.762467,-95.357866,,False
365,19,2025-09-10 17:00:00,369.44,,,,29.71449,-95.403108,,False
366,19,2025-09-13 06:00:00,322.49,,,,29.734189,-95.365015,,False
